file_path,file_name,file_size,sha256,first_50_bytes_hex,detected_type,signature_match
F:\Users\win10secu3\Documents\File\File147,File147,156,2ddbd5f4ce4eccba52f3cc7ecf4929dfb571361d97a33ab3246617f70c9d482f,406563686F206F66660D0A736574206D6573736167653D4C6F6164696E672072616E646F6D20746578742E2E2E0D0A666F72,UNKNOWN,
F:\Users\win10secu3\Documents\File\File148,File148,315392,9e345ad76741371fbba34da23c39ccc3897ae35846ee44ab79fbfe18d3a9fd4e,FFFB90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,UNKNOWN,
F:\Users\win10secu3\Documents\File\File149,File149,27228,ca651505e86f7be138e5fc8a11b450a175064952e4bf882c332aba1831497212,504B0304140008080800CE13765900000000000000000000000010000000776F72642F666F6F746572312E786D6CED57FF6E,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File150,File150,955283,9db6a42860fa24a4f1b731f6ec736bd1235f95806c66b6d27064dde5917a974e,504B03040A000000000000002100FFFFFFFF2002000020020000100000005B74726173685D2F303030302E646174FFFFFFFF,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File151,File151,4723372,861b99687b257f226a124b0bf7d028d46bef5cfb31cccf4e68bd448af06fc2d4,504B030414000600080000002100B7BBC7DCA402000000250000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File152,File152,151135,6329dda11c90cc6461e58fbebfb0ed1ae744d5177b647748826eb22472b128c4,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F,JPEG,jpg
F:\Users\win10secu3\Documents\File\File153,File153,40590,2d722a116f991e38f3f64fd486109be6280d91c1804682b4e40f67a7682d899f,504B0304140008080800BABB755500000000000000000000000010000000786C2F636F6D6D656E7473312E786D6C8D53CB6E,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File154,File154,22534,42f2787a27c9889b60b1ef6da602c57c9a4fe0b6a945c7cc0fda60a8980d7e35,45006400750063006100740069006F006E0061006C00200043006F006D006D0075006E0069007400790020004C0069006300,UNKNOWN,
F:\Users\win10secu3\Documents\File\File155,File155,301568,3e30293590a4f124e5ad3a783f312f0a4607331799d31e103011a90af5aa8e92,4D5A50000200000004000F00FFFF0000B80000000000000040001A0000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File156,File156,347444,2dc04d6ab4d83b63c572f6a2aa0817c70394b8cb7342ea603a04e8cee59d764e,255044462D312E370A25F6E4FCDF0A312030206F626A0A3C3C0A2F54797065202F436174616C6F670A2F5061676573203220,PDF,pdf
F:\Users\win10secu3\Documents\File\File157,File157,10483,320bee996580871e3863b5d8bcb333a83519bff327e2764bb82f84065f44d25d,41636164656D69632046726565204C6963656E736520282241464C222920762E20332E300D0A0D0A54686973204163616465,UNKNOWN,
F:\Users\win10secu3\Documents\File\File158,File158,631,164de5ced33b91f414e4837d123d2d77b44a1abc6bd23ccb8183f0e1355d0d9b,EFBBBF3C230A2E53594E4F505349530A09496E7374616C6C732053706F746966790A2E4445534352495054494F4E0A095468,UNKNOWN,
F:\Users\win10secu3\Documents\File\File159,File159,317088,c50e84b679470efe6494352ebef66cda2b5bda1dd30981036ff4faaca28d9544,4D5A8B000300000020000000FFFF070000016540000000004000000001000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File160,File160,4096,d0e714e047c50e9635d0eb408a19a5487f64950d40aa7e3f5fb03fd80550d9ed,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File161,File161,50971,b424fe8fe48d94e754bf63fc1d31eca150177edbd63065873931b833b1d92c8d,504B030414000600080000002100B5CF3E7B02010000BB0200000B0008025F72656C732F2E72656C7320A2040228A0000200,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File162,File162,28514,19cfcbd8a84eafdc7d99627b9a8e6a3b38d2414e124a412cd928ff0c3107467e,504B030414000600080000002100A404CFE97101000098050000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File163,File163,174733,a318143f9603d13e7c8f2afbcb27d8dd4045676773ea4170e60543e39f9d5aef,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F,JPEG,jpg
F:\Users\win10secu3\Documents\File\File164,File164,12440,2d6f7296759859738048cf02b07f381cab62045037950e590f419df824adfc36,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File165,File165,696,1adecb3b5a3882cedce9fd64cddafebdcb045fe7035aac8f02ffe64dc827593c,EFBBBF3C230D0A2E53594E4F505349530D0A2020202020202020496E7374616C6C732043686F636F6C6174657920286E6565,UNKNOWN,
F:\Users\win10secu3\Documents\File\File166,File166,3072,565d4e064b9757bf3e30ff5f229f401c113aa6f073eb823f6d8994be5b189f0b,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File167,File167,1233,147a3761456127bcb8ada2c34728a301d01acd316946aad7d605c3a9ce37e6f2,54686973206973206672656520616E6420756E656E63756D626572656420736F6674776172652072656C656173656420696E,UNKNOWN,
F:\Users\win10secu3\Documents\File\File168,File168,7815,f831e7eed577481687a9bc0b48024e5e40b6f655fcde073ede964b50be5d55d9,20202020202020202020202020202020202020474E55204C45535345522047454E4552414C205055424C4943204C4943454E,UNKNOWN,
F:\Users\win10secu3\Documents\File\File169,File169,781,5ca9c2b5b336be53bfe6310c3ea4a51f85d003898e267d9871803d05b1c1214f,EFBBBF3C230A2E53594E4F505349530A095072696E747320746865205348413531322068617368206F6620612066696C650A,UNKNOWN,
F:\Users\win10secu3\Documents\File\File170,File170,6138710,bf2180708e187ea7b3118b65d83767054c8fbdfc258c3fc7d0980f4d936de028,504B030414000600080000002100C3AA5D0E8D020000581D0000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File171,File171,1011368,021ea4dc427c81adebedb8152f67e67de7dc74417b65c2e276c58ca7d27112fc,504B03041400060008000000210033A54B358A01000099050000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File172,File172,17097,f98118e352c0c17b1bd04afee6f258d5c29116bf5e6b74fa0a28148ab372519a,4D6F7A696C6C61205075626C6963204C6963656E73652056657273696F6E20322E300D0A3D3D3D3D3D3D3D3D3D3D3D3D3D3D,UNKNOWN,
F:\Users\win10secu3\Documents\File\File173,File173,19232,d042f2a62c3169aae27e079f596effacf5c7d98e3777f230908e1a27f97d4aeb,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File174,File174,113,40e4e9e028ff2c341f0f10c7e39bf16bb5328d3faa71e87b4e9bdb117101f0da,406563686F206F66660D0A736574202F6120613D2572616E646F6D25202525203130300D0A736574202F6120623D2572616E,UNKNOWN,
F:\Users\win10secu3\Documents\File\File175,File175,829,e1be23b940aa48907364cf126cd3ba656d13f6e9db0317f5072e22952e3c36f2,EFBBBF3C230A2E53594E4F505349530A09496E7374616C6C7320564C430A2E4445534352495054494F4E0A09546869732050,UNKNOWN,
F:\Users\win10secu3\Documents\File\File176,File176,3072,827be39a735f8c49e3fc483b5a57401c463c0aa306ab14f277f20453f45833a1,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File177,File177,12064,b12679d33126d2dcb0cd3625fccf5c3afc40d95c1be36dc55f7471de94929d23,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File178,File178,608,8f10f3044eedf59e35d2a9b06eafeb6c73acfb25cb2cbac88b55e57e49034e9d,EFBBBF3C230A2E53594E4F505349530A09496E7374616C6C73204E6574666C69780A2E4445534352495054494F4E0A095468,UNKNOWN,
F:\Users\win10secu3\Documents\File\File179,File179,9093,2d0f446840b79edc6392af5a19603d1092bf816a0853aa7e4017029ba05c7616,090920202020202020546865204172746973746963204C6963656E736520322E300D0A0D0A0920202020436F707972696768,UNKNOWN,
F:\Users\win10secu3\Documents\File\File180,File180,2071847,93ad8b3ae0098063a59ecb9d4784d6222778e52c7c5f1d18238992842ba02ed6,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File181,File181,9567,8a44bdbeaa77f132076aba2f6e3f59738ea5f75cc17717536c65f862aaa3131c,504B0304140000080800423D3C5A479244B25A010000F0040000130004005B436F6E74656E745F54797065735D2E786D6C53,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File182,File182,490858,2e4e83d7d42bbd305f4bb20a15f0f4b3346b7b335cb50d8c3a546f681ca1b832,255044462D312E340D25E2E3CFD30D0A313231332030206F626A0D3C3C2F4C696E656172697A656420312F4C203439303836,PDF,pdf
F:\Users\win10secu3\Documents\File\File183,File183,34148,42efce0f18b4f04638c0f8804ac4b80a69992259e8e4cd842fe6b105eea3bfb2,504B0304140006000800000021001CADB2D2FA0100006D0B0000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File184,File184,1660287,ef084f96946a33800a10c8cc5baea73a48025bcb100e1ab2c7f9c68fdd5755c3,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDF98F245B96,PNG,png
F:\Users\win10secu3\Documents\File\File185,File185,870117,5a61ca0690a051e9dace2cacd65a9aa956278cbef643e4a259d37d8b1da2055a,504B0304140006000800000021009634826862020000281800001300C5015B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File186,File186,2176,c665a33a2462010c88cc488ac006544014700c2d19b931e528cf40041cc5e9b0,4D004900540020004C006900630065006E00730065000D000A000D000A0043006F0070007900720069006700680074002000,UNKNOWN,
F:\Users\win10secu3\Documents\File\File187,File187,23570,d0a731438645729fef6185853644eb033f08944318d6085f46c9561a1a7dc074,504B030414000600080000002100B5F6D3968D01000021070000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File188,File188,10470,915c0560471eece77640068019d519f6f5cb345877fc4b7b2006a2cc58277ddf,4F70656E20536F667477617265204C6963656E73652028224F534C222920762E20332E300D0A0D0A54686973204F70656E20,UNKNOWN,
F:\Users\win10secu3\Documents\File\File189,File189,95254,61907f67de8563ebbc76740b23bd97e332cb78a052b4491e9d7f740946cc692f,504B030414000600080000002100885E620BCA010000220A0000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File190,File190,1799942,4ed04cdb00ed9809033efbf8f9ad3debee924ff4564f200c96d88a9dc508d7dd,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFDE9B36DC775,PNG,png
F:\Users\win10secu3\Documents\File\File191,File191,148835,19df1c62878cf4ef4634f87f35ad6b66a1df5433e9341772efa0ab2449962e92,504B03041400060008000000210058793607DF010000230A0000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File192,File192,319563,105e7abe3ee6468f590368d72d02b63ff6eafe147a0cfdd994f952e2b7c9acbd,90000300000004000000FFFF0000B80000000000000040000000000000000000000000000000000000000000000000000000,UNKNOWN,
F:\Users\win10secu3\Documents\File\File193,File193,466915,d3f23962bd711525f1e2797f0ec17f15d2a0b73665065bd20cb45d23fa6e3c99,504B03040A000000000000002100FFFFFFFF0C0200000C020000100000005B74726173685D2F303030302E646174FFFFFFFF,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File194,File194,1641870,9c78b4fcd0a2b8c46af7574db506f6e5c1ae85250034bef6e52c26aa88424b59,504B0304140006000800000021003E1188CA6002000047190000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File195,File195,87316,c0f86d1003cd3c7117dc032b943928910944d00a61de2b3aef60f51c902c896f,4344303014000600080000002100714B4E1205020000EC0C00001300CD015B436F6E74656E745F54797065735D2E786D6C20,UNKNOWN,
F:\Users\win10secu3\Documents\File\File196,File196,1379663,9e22d6eedee0a3399dc254fdfa1695b4a33e37782c2fe7dddca72f137e831c3c,504B03041400060008000000210062EE9D685E01000090040000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File197,File197,2454899,f5afab8876440ad6cb9b95a3988d0d97bc9eaffef86a3d668e74237d7013bd0b,504B0304140008080800D241755900000000000000000000000010000000776F72642F686561646572312E786D6CA595DB8E,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File198,File198,10412619,ada5a897f6c0a25fd1f71df86455346435639000cd10f1dae3d32675ecc75660,504B03041400060008000000210099557E05F9000000E10200000B00F3015F72656C732F2E72656C7320A2EF0128A0000200,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File199,File199,266057,be349d9ae09d8cf0f9065dd7a790a41416d3ebf93eb75015bd852266d3b223f9,255044462D312E370D0A25B5B5B5B50D0A312030206F626A0D0A3C3C2F547970652F436174616C6F672F5061676573203220,PDF,pdf
F:\Users\win10secu3\Documents\File\File200,File200,1543898,e8f2c7602555751cf8fe40de5e51d1d51c3abcaf617af949cae601c7f21cb4fb,4D5A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD59B36449921E887DAA6A76,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File201,File201,867014,cca30ca51762ebc3627fb2bf0ad625f04e52ef1af1b5070132279f5f40015d7f,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File202,File202,1204734,4fb8184bee8c99d59555e7e387a0ebec6df0e3e1801aa640133374ead7c56e78,42000200000020000000FFFF05000001000000000000400000000100FB716A72000000000000000000000000000000000000,UNKNOWN,
F:\Users\win10secu3\Documents\File\File203,File203,781,24795cf6cd080bb4897f9e532b34c1e2ebd3d841aa5bfcd30d8c75b833d69518,EFBBBF3C230A2E53594E4F505349530A095072696E747320746865205348413235362068617368206F6620612066696C650A,UNKNOWN,
F:\Users\win10secu3\Documents\File\File204,File204,681,a3a56b01c83255a27ffc21329316ee7bbc2fe6a0e0dc4449d1e8d154312b7ce4,EFBBBF3C230A2E53594E4F505349530A09496E7374616C6C73204F42532053747564696F20286E656564732061646D696E20,UNKNOWN,
F:\Users\win10secu3\Documents\File\File205,File205,169050,d0aa4a315d66e1197e18c51b0924b09e5c716b1204fafb8ac43d101a9da06a89,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F,JPEG,jpg
F:\Users\win10secu3\Documents\File\File206,File206,209333,f435ebe4e5aef3479aedf5b2128f6111635cce44f4a7f19cb3ea8d92d21b216d,504B03041400060008000000210024EC50BF8201000024070000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File207,File207,726251,101bcf563ebe0e8ef4f0a63513614791b3c306c10f8382416276992a85dd63b1,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File208,File208,3060289,24a50953cdcb5923deb5c91fc03c89144d6b48ce288457a85f380f511cf6f0ff,504B030414000600080000002100E4A7B06FEB010000350D0000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File209,File209,202653,19de82512ea67a8ca22985d597dc2190f33d23a410315fde887e60bd525a268b,255044462D312E330A25E2E3CFD30A312030206F626A0A3C3C0A2F54797065202F50616765730A2F436F756E742031340A2F,PDF,pdf
F:\Users\win10secu3\Documents\File\File210,File210,184563,ff59a2acd6b318ffc75e2ed3c5936c69d56eda24b6a57049a5d75f14308c00e7,504B03040A000000080000002100FC1FED11250200004305000010000000646F6350726F70732F6170702E786D6C9C54DF6F,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File211,File211,458026,dcfff3750dfaabd52f4c62a35a98f1d0df5227aec8ebfcc2e8167bc71c4b05cc,504B0304140006000800000021003BF479E32E030000B810000014000000786C2F70726573656E746174696F6E2E786D6CEC,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File212,File212,182,5949cf679127b5a6fdb19a4200f72a8bb2b6095bd61e64692cb6b39a06fa96f9,406563686F206F66660D0A736574206164766963653D5374617920706F7369746976652E7C54616B6520627265616B732E7C,UNKNOWN,
F:\Users\win10secu3\Documents\File\File213,File213,66043,47914ae30332a9b287cd49cf1848a923790dec9693742ea370ee5ae9d5f4cd4f,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File214,File214,166868,568ea3e5a0735f8eb6cde01fe02dd588f2474ecb959188c4fe55a4252cf1d429,FFD8FFE000104A46494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F,JPEG,jpg
F:\Users\win10secu3\Documents\File\File215,File215,643,39f623db0d8f79359e3f585fec270bf9a189c19392e4a69d111ecc71415bad32,EFBBBF3C230A2E53594E4F505349530A09496E7374616C6C732056697375616C2053747564696F20436F64650A2E44455343,UNKNOWN,
F:\Users\win10secu3\Documents\File\File216,File216,628,44e76ab7e070b8e79e26f13b31c2c574ac6194364864ed485961ecbce0a19dc7,EFBBBF3C230A2E53594E4F505349530A09496E7374616C6C732047697420457874656E73696F6E730A2E4445534352495054,UNKNOWN,
F:\Users\win10secu3\Documents\File\File217,File217,14118,0d359811829860ca2834f57db70b89d41ec044ab22f85f1a87f5c22228d5d899,202020202020202020202020202020202020202020204555524F5045414E20554E494F4E205055424C4943204C4943454E43,UNKNOWN,
F:\Users\win10secu3\Documents\File\File218,File218,1394042,0037cf511e2b34db246d16b964f9373c21b2dc7b268b9cfcbe89620b16fc4c74,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD69B06DC975,PNG,png
F:\Users\win10secu3\Documents\File\File219,File219,127189,a119016709f406bf1550822b2bdc3807c1a2fdb953e387e9257e08d1a81549f9,FFD8FFE000104558494600010100000100010000FFDB004300080606070605080707070909080A0C140D0C0B0B0C1912130F,JPEG,jpg
F:\Users\win10secu3\Documents\File\File220,File220,191,a02767a52d8c1fcde77ed6d297d3ac17029275c6125af1c6ac5a618904f71c6e,406563686F206F66660D0A73657420776F72643D68656C6C6F0D0A73657420736372616D626C65643D0D0A666F72202F6C20,UNKNOWN,
